"Dien tich, dan so va mat do dan so phan theo dia phuong chia theo Dia phuong, Nam va Chi tieu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ð?a phuong,2011 Di?n tích(Km2),2011 Dân s? trung bình (Nghìn ngu?i),2011 M?t ?? dân s? (Ngu?i/km2),2012 Di?n tích(Km2),2012 Dân s? trung bình (Nghìn ngu?i),2012 M?t ?? dân s? (Ngu?i/km2),2013 Di?n tích(Km2),2013 Dân s? trung bình (Nghìn ngu?i),2013 M?t ?? dân s? (Ngu?i/km2),2014 Di?n tích(Km2),2014 Dân s? trung bình (Nghìn ngu?i),2014 M?t ?? dân s? (Ngu?i/km2),2015 Di?n tích(Km2),2015 Dân s? trung bình (Nghìn ngu?i),2015 M?t ?? dân s? (Ngu?i/km2),2016 Di?n tích(Km2),2016 Dân s? trung bình (Nghìn ngu?i),2016 M?t ?? dân s? (Ngu?i/km2),2017 Di?n tích(Km2),2017 Dân s? trung bình (Nghìn ngu?i),2017 M?t ?? dân s? (Ngu?i/km2),2018 Di?n tích(Km2),2018 Dân s? trung bình (Nghìn ngu?i),2018 M?t ?? dân s? (Ngu?i/km2),2019 (*) Di?n tích(Km2),2019 (*) Dân s? trung bình (Nghìn ngu?i),2019 (*) M?t ?? dân s? (Ngu?i/km2),2020 (*) Di?n tích(Km2),2020 (*) Dân s? trung bình (Nghìn ngu?i),2020 (*) M?t ?? dân s? (Ngu?i/km2),2021 (*) Di?n tích(Km2),2021 (*) Dân s? trung bình (Nghìn ngu?i),2021 (*) M?t ?? dân s? (Ngu?i/km2),2022 (*) Di?n tích(Km2),2022 (*) Dân s? trung bình (Nghìn ngu?i),2022 (*) M?t ?? dân s? (Ngu?i/km2)
Phú Th?,3533.4,1329.34,376.22,3533.4,1340.81,379.47,3533.3,1355.24,383.56,3533.3,1373.67,388.78,3533.3,1392.3,394.05,3534.4,1409,398.65,3534.6,1430.5,404.71,3534.6,1449.6,410.12,3534.6,1466.4,415,3534.6,1481.88,419,3534.56,1507.54,427,3534.56,1516.92,429
Ði?n Biên,9562.9,512.8,53.62,9562.9,523.88,54.78,9562.9,534.97,55.94,9562.9,546.06,57.1,9562.9,557.1,58.26,9540.9,568.3,59.56,9541.3,579.4,60.73,9541.2,590.5,61.89,9541.3,601.7,63,9539.9,613.48,64,9539.92,625.09,66,9539.93,635.92,67
Lai Châu,9068.8,392.88,43.32,9068.8,402.95,44.43,9068.8,414.55,45.71,9068.8,421.46,46.47,9068.8,427.9,47.18,9069.5,436.3,48.11,9068.8,444.5,49.01,9068.8,453.4,50,9068.8,462.6,51,9068.7,469.81,52,9068.73,478.43,53,9068.73,482.1,53
Son La,14174.4,1115.21,78.68,14174.4,1129.87,79.71,14174.4,1143.91,80.7,14174.4,1159.74,81.82,14174.4,1177.4,83.07,14123.5,1194.9,84.6,14123.5,1213.4,85.91,14123.5,1233.1,87.31,14123.5,1252.7,89,14109.8,1270.56,90,14109.83,1287.72,91,14109.83,1300.13,92
Hoà Bình,4608.7,802.18,174.06,4608.7,808.43,175.41,4608.7,812.75,176.35,4608.7,819.62,177.84,4608.7,828.6,179.79,4590.7,837,182.33,4590.6,845,184.07,4590.6,850.4,185.25,4590.6,855.8,186,4590.3,861.22,188,4590.3,871.72,190,4590.3,875.38,191
B?c Trung B? và Duyên h?i mi?n Trung,95838,19116.29,199.46,95835.8,19253.84,200.9,95834.5,19391.97,202.35,95832.4,19511.45,203.6,95832.4,19653.7,205.08,95871.3,19802.5,206.55,95871.9,19949,208.08,95876,20085.1,209.49,95875.8,20220.4,211,95860.1,20343.18,212,95847.52,20584.91,215,95847.87,20661.65,216
Thanh Hoá,11131.9,3427.59,307.91,11132.2,3449.44,309.86,11130.5,3484.77,313.08,11129.5,3507.09,315.12,11129.5,3537,317.8,11114.5,3570.8,321.27,11114.7,3603.7,324.23,11114.6,3631.3,326.71,11114.6,3645.8,328,11114.7,3664.94,330,11114.71,3716.43,334,11114.71,3722.06,335
Ngh? An,16493.7,2996.14,181.65,16490.9,3035.99,184.1,16492.7,3076.38,186.53,16490,3116.33,188.98,16490,3160.6,191.67,16481.7,3203.1,194.34,16481.6,3246.7,196.99,16481.6,3291.4,199.7,16481.4,3337.2,202,16486.5,3365.2,204,16486.5,3409.81,207,16486.49,3419.99,207
Hà Tinh,5997.2,1236.71,206.21,5997.8,1242.09,207.09,5997.3,1247.56,208.02,5997.8,1255.25,209.29,5997.8,1261.3,210.29,5990.6,1266.7,211.45,5990.7,1274.2,212.7,5990.7,1280.5,213.75,5990.7,1290.3,215,5994.5,1296.62,216,5994.45,1314.06,219,5994.45,1323.75,221
Qu?ng Bình,8065.3,854.57,105.96,8065.3,859.79,106.6,8065.3,865.02,107.25,8065.3,870.49,107.93,8065.3,875.6,108.56,8000.1,880.6,110.07,8000,885.7,110.71,8000,891.1,111.39,8000,896.6,112,7998.8,901.98,113,7998.76,910.66,114,7998.76,913.86,114
